id,nom,adresse,distance
bb1c287f-b844-469b-a155-f93b9dcd9361,Allen PLC,"79668 Ross Estates
Manuelville, MN 25255",70
05fa7e8f-6106-4a9d-bca0-44a8d8d6895c,Jones-Boyd,"84819 Mann Land Apt. 236
Changville, ME 02772",70
6c6bd391-2d42-4e80-aba9-42a5df242a44,"Horton, Brown and Golden","7331 Rose Gardens Apt. 549
Allenville, KY 22228",79
fd7d8e40-3ff3-425a-a311-874a18aba3be,Nguyen Group,"Unit 0893 Box 4534
DPO AE 45204",38
35f2f705-9d38-43e4-8e8c-4be556039204,Norris-Garrett,"599 Ashley Park
West Philip, AZ 24860",24
fe088fde-1d1f-4410-b04b-d8fb6fb3a75c,"Chandler, Rodriguez and Woodward","9999 Donna Walks Apt. 042
North Markshire, NH 16413",36
99371bbc-fe82-4c1b-8f07-8c40a596678a,Hurley Group,"9105 Amber Bridge Apt. 043
Reynoldsburgh, PW 48392",5
1aba64ef-af08-4570-8422-0e23b9cb6168,Tran Group,"87922 Sherry Land Suite 340
Harrishaven, TN 46774",39
5d6855a7-3291-4ae7-b9eb-a1ee50257333,Reyes-Hernandez,"783 Murphy Prairie Apt. 024
Matthewstad, MA 05838",30
c2b6213e-f53f-40b1-9374-b7b085881277,Copeland and Sons,"153 Tina Manor Apt. 454
Lake Jesseport, NJ 54080",98
